AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
PAYA LEBAR,SGP000062,DAYSPRING  MEDICAL CLINIC (HAIG ROAD),30 HAIG ROAD,438737,68469979,67423453,"9.00AM-3.00PM,
6.00PM-9.00PM (CLOSED ON FRI & SAT NIGHT)",9.00AM-1.00PM,6.00PM-9.00PM,CLOSED,
PAYA LEBAR,SGP000194,KONG KIAN CLINIC,187 UPPER PAYA LEBAR ROAD,534869,62887101,62887101,"8.30AM-12.30PM,
2.00PM-5.00PM",8.30AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,
PAYA LEBAR,SGP000531,TAI SENG CLINIC,137 UPPER PAYA LEBAR ROAD,534844,62882434,62882434,"8.30AM-12.30PM,
2.00PM-4.30PM","8.30AM-12.30PM,
2.00PM-4.00PM",8.30AM-11.30AM,8.30AM-11.00AM,
PAYA LEBAR,SGP000701,PHOENIX MEDICAL GROUP (PAYA LEBAR),60 PAYA LEBAR ROAD #02-09 PAYA LEBAR SQUARE,409051,67022940,67022941,"9.00AM-1.00PM,
2.00PM-5.30PM",9.00AM-1.00PM,CLOSED,CLOSED,
POTONG PASIR,SGP000124,GOH MEDICAL CLINIC,BLK 136 POTONG PASIR AVENUE 3 #01-164,350136,62827886,62827886,"8.30AM-12.00PM   
2.00PM-4.30PM   
6.30PM-8.30PM","8.30AM-12.00PM
 
2.00PM-4.30PM",CLOSED,9.00AM-12.00PM,CLOSED ON WED-SAT EVENING
POTONG PASIR,SGP000355,THE FAMILY PRACTICE - POTONG PASIR,BLK 148 POTONG PASIR AVENUE 1 #01-33,350148,62816906,62818602,"MON-THU: 8.30AM-
1.00PM, 5.30PM-
9.30PM   FRI:
8.30AM-1.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
PUNGGOL,SGP000639,TRINITY MEDICAL (PUNGGOL)  PTE LTD,BLK 273C PUNGGOL PLACE #01-880,823273,66948238,66948239,"8.30AM-12.00PM,
2.00PM-4.30PM,
6.00PM-9.30PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM (CALL TO CONFIRM),
PUNGGOL,SGP000250,MUTUAL HEALTHCARE  PTE LTD,BLK 106A PUNGGOL FIELD ROAD #01-546,821106,63155036,63155037,"8.30AM-12.00PM   
2.00PM-4.00PM   
6.30PM-9.00PM",8.30AM-12.00PM,8.30AM-12.00PM,8.30AM-12.00PM,
PUNGGOL,SGP000650,ETERN MEDICAL CLINIC @ PUNGGOL MRT,70 PUNGGOL CENTRAL #01-05 PUNGGOL MRT STATION,828868,64259935,64259936,"MON-FRI: 8.30AM-
1.00PM, 6.30PM-
9.30PM   MON & TUE: 2.00PM-
4.30PM",8.30AM-1.00PM,8.30AM-1.00PM,8.30AM-1.00PM,"LAST REGISTRATION
15 MINS BEFORE CLOSING OR EARLIER THAN AS STATED IF REACHED THE MAXIMUM NUMBER OF PATIENTS THAT CAN BE ACCEPTED  FOR THAT SESSION."
PUNGGOL,SGP000692,AVENUE K CLINIC @ PUNGGOL PTE LTD,BLK 615A EDGEFIELD  PLAINS #01-327,821615,68344843,,"8.30AM-1.00PM,
2.00PM-4.00PM,
6.30PM-9.00PM",8.30AM-1.30PM,CLOSED,CLOSED,
PUNGGOL,SGP000731,PANHEALTH  FAMILY CLINIC,312B SUMANG LINK #01-03,822312,69660595,69668639,"8.30AM-12.30PM,
2.30PM-4.30PM,
6.30PM-9.30PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
QUEENSTOW N,SGP000003,ALEXANDRA  FAMILY CLINIC & SURGERY,BLK 57 DAWSON ROAD #02-02 DAWSON PLACE,142057,64797022,64798366,"8.00AM-3.00PM   
6.00PM-9.00PM (CLOSED ON THU EVENINGS)",8.00AM-12.00PM,8.00AM-12.00PM,CLOSED,
