AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
KALLANG,SGP000420,SPRING MEDICAL CLINIC (OLD AIRPORT ROAD),BLK 39 JALAN TIGA #01-03 PINE GREEN,390039,62477077,62479385,"9.00AM-3.00PM,
6.30PM-9.30PM (CLOSED ON FRI NIGHT)",9.00AM-12.30PM,CLOSED,CLOSED,"LAST REGISTRATION
15 MINS BEFORE CLOSING TIME."
KALLANG,SGP000711,THE CLINIC @ APERIA,12 KALLANG AVENUE #03-15 THE APERIA,339511,63339300,63416892,"9.30AM-1.00PM,
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
KEMBANGAN,SGP000153,HEALTHWAY  MEDICAL CLINIC,BLK 110 LENGKONG  TIGA #01-231,410110,67494062,67476487,"8.30AM-12.30PM   
2.00PM-4.30PM   
6.30PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,Closed on Fri nights.
LAVENDER,SGP000190,KING GEORGE'S MEDICAL CENTRE PTE LTD,BLK 803 KING GEORGE'S AVENUE #01-144,200803,62939883,62954782,"8.30AM-12.30PM,
2.00PM-4.30PM,
6.00PM-8.00PM (CLOSED ON WED & FRI EVENING)",8.30AM-12.30PM,CLOSED,CLOSED,
LAVENDER,SGP000342,TEXTILE CENTRE CLINIC,200 JALAN SULTAN #03-32 TEXTILE CENTRE,199018,62982400,62917933,"9.00AM-12.00PM,
2.00PM-4.30PM",CLOSED,CLOSED,CLOSED,
LITTLE INDIA,SGP000439,APOLLO MEDICAL CENTRE,BLK 668 CHANDER ROAD #01-24,210668,62962777,62964348,"8.00AM-1.00PM   
2.00PM-5.00PM   
6.30PM-9.30PM","8.00AM-1.00PM   
2.00PM-5.00PM   
6.30PM-9.30PM","10.00AM-1.00PM
 
2.00PM-5.00PM   
6.30PM-9.30PM","10.00AM-1.00PM
 
2.00PM-5.00PM   
6.30PM-9.30PM",
LITTLE INDIA,SGP000535,CARE FAMILY CLINIC,BLK 663 BUFFALO ROAD #01-12,210663,62995868,62995869,"8.30AM-12.30PM   
1.30PM-4.00PM   
6.00PM-9.00PM","8.30AM-12.30PM
 
1.00PM-4.30PM",1.00PM-5.00PM,8.30AM-12.30PM,Closed on Fri nights
LITTLE INDIA,SGP000737,TAYKA MEDICAL,29A DESKER ROAD,209562,63924473,63924593,2.00PM-10.00PM,2.00PM-10.00PM,2.00PM-10.00PM,2.00PM-10.00PM,
MACPHERSON,SGP000204,LIFECARE MEDICAL CENTRE,BLK 36 CIRCUIT ROAD #01-416,370036,67461533,67461533,"8.30AM-3.00PM   
6.30PM-9.30PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,
MARINA BAY,SGP000550,CLINIC @ THE SAIL,2 MARINA BOULEVARD  #B1-11/12 THE SAIL @ MARINA BAY,18987,62255410,62255910,"8.00AM-1.00PM,
2.00PM-5.00PM",8.30AM-12.00PM,CLOSED,CLOSED,
MARINE PARADE,SGP000115,FAMILY MEDICINE CLINIC,BLK 58 MARINE TERRACE #01-65,440058,64491606,64491606,"MON-FRI: 9.00AM-
12.30PM   MON- THU: 2.30PM-
4.30PM   MON & WED: 7.00PM-
9.00PM",9.00AM-12.30PM,CLOSED,CLOSED,
MARINE PARADE,SGP000397,MEDILINE WEI MIN CLINIC (MARINE PARADE),BLK 81 MARINE PARADE CENTRAL #01-634,440081,62479221,62479392,7.00AM-12.00AM,7.00AM-12.00AM,7.00AM-12.00AM,7.00AM-12.00AM,
MARINE PARADE,SGP000652,TRINITY MEDICAL CENTRE (MARINE PARADE),87 MARINE PARADE CENTRAL #02-500A,440087,63440027,63480683,"8.30AM-12.30PM,
2.00PM-5.00PM,
6.00PM-9.00PM","8.30AM-12.30PM,
2.00PM-5.00PM","8.30AM-12.30PM,
2.00PM-5.00PM",CLOSED,
MARINE PARADE,SGP000226,MARINE PARADE CLINIC,BLK 59 MARINE TERRACE #01-81,440059,62419065,64434549,"9.00AM-12.30PM  
2.30PM-4.30PM   
7.00PM-8.30PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,Closed on Fri nights
NORTH BRIDGE,SGP000414,DRS SINGH & PARTNERS (RAFFLES CITY),252 NORTH BRIDGE ROAD #02-16 RAFFLES CITY SHOPPING CENTRE,179103,63388883,63383565,"9.00AM-1.00PM   
2.00PM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,Patient to arrive at clinic at least 30mins before closing
