AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
NOVENA,SGP000364,THE RAFFLESIAN  CLINIC & SURGERY,10 SINARAN DRIVE #11-06 SQUARE 2,307506,63382740,63386840,"9.00AM-12.00PM  
2.00PM-4.00PM",10.00AM-2.00PM,CLOSED,CLOSED,Please make an appointment  before visit.
ORCHARD,SGP000070,DR RICHARD CHOO & PARTNERS PTE LTD,541 ORCHARD ROAD #10-02 LIAT TOWERS,238881,67345260,67371960,"9.00AM-1.00PM   
2.00PM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,
ORCHARD,SGP000068,GP HEALTH CARE PTE LTD,5 KOEK ROAD #01-23 CUPPAGE PLAZA,228796,67336060,67385273,"9.00AM-1.00PM  
2.00PM-5.30PM",9.00AM-1.00PM,CLOSED,CLOSED,
ORCHARD,SGP000048,CHONG'S MEDICAL CENTRE,190 CLEMENCEAU  AVENUE #01-29/30 SINGAPORE SHOPPING CENTRE,239924,63383297,63325629,"9.00AM-12.30PM   
2.00PM-5.00PM",9.00AM-12.30PM,CLOSED,CLOSED,
ORCHARD,SGP000077,DRS FERNANDEZ  & PARTNERS,9 PENANG ROAD #07-06 PARK MALL,238459,63380686,63347391,"9.00AM-1.00PM   
2.00PM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,Patient to arrive at clinic at least 30mins before closing
ORCHARD,SGP000092,"FULLERTON  HEALTHCARE  GROUP @ DRS TRYTHALL HOY DAVIES, NGEE ANN CITY",391B ORCHARD ROAD #25-07 NGEE ANN CITY TOWER B,238874,68365242,,"8.30AM-1.00PM   
2.00PM-5.30PM",8.30AM-1.00PM,CLOSED,CLOSED,Patient to arrive at least 30mins before closing
ORCHARD,SGP000525,DR TAN & PARTNERS,11 UNITY STREET #02-07 ROBERTSON  WALK,237995,62387810,62387812,8.00AM-9.00PM,9.00AM-2.00PM,CLOSED,CLOSED,
ORCHARD,SGP000259,NEWCASTLE  CLINIC PTE LTD,541 ORCHARD ROAD #18-02A LIAT TOWERS,238881,67362322,67389186,"9.00AM-1.00PM   
2.00PM-6.00PM",9.00AM-1.00PM,CLOSED,CLOSED,
ORCHARD,SGP000289,PRIME MEDICAL GROUP PTE LTD,290 ORCHARD ROAD #09-11/12 PARAGON,238859,67328096,67375841,8.30AM-5.00PM,8.00AM-1.00PM,CLOSED,CLOSED,
ORCHARD,SGP000291,PRIMEHEALTH MEDICAL GROUP PTE LTD,81 CLEMENCEAU  AVENUE #03-22 UE SQUARE,239917,67344666,67345663,"9.00AM-12.30PM   
1.30PM-5.30PM",9.00AM-12.30PM,CLOSED,CLOSED,Patient to arrive at least 15mins before closing.
ORCHARD,SGP000723,DR. TAN & PARTNER @ SCOTTS,9 SCOTTS ROAD #06-06 PACIFIC PLAZA,228210,66942348,66942358,8.00AM-9.00PM,8.00AM-1.00PM,CLOSED,CLOSED,
PASIR RIS,SGP000061,DAYSPRING  MEDICAL CLINIC (PASIR RIS),1 PASIR RIS CENTRAL STREET 3 #05-09 WHITE SANDS,518457,65850123,65850103,"9.00AM-1.00PM,
2.00PM-5.00PM,
6.00PM-9.00PM",9.00AM-1.00PM,9.00AM-1.00PM,CLOSED,
PASIR RIS,SGP000147,HEALTHWAY  MEDICAL CLINIC,BLK 625 ELIAS ROAD #01-322 ELIAS MALL,510625,65846822,65846883,"8.30AM-12.30PM  
2.00PM-5.00PM   
6.30PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,
PASIR RIS,SGP000214,LILY AW PASIR RIS FAMILY CLINIC & SURGERY,BLK 446 PASIR RIS DRIVE 6 #01-116,510446,65822122,65842378,"8.30AM-12.30PM   
2.00PM-4.30PM   
6.00PM-9.00PM","8.30AM-12.30PM
 
6.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,
PASIR RIS,SGP000221,LOYANG MEDICAL CENTRE,BOX 5142 LOYANG CRESCENT   LOYANG OFFSHORE SUPPLY BASE,508988,65431690,65422528,"8.30AM-1.00PM  
2.00PM-5.00PM",9.00AM-12.00PM,CLOSED,CLOSED,
PASIR RIS,SGP000279,PARAGON MEDICAL CENTRE PTE LTD,BLK 258 PASIR RIS STREET 21 #02-323 LOYANG POINT,510258,65833693,65833693,"9.00AM-1.00PM  
2.00PM-4.00PM  
6.30PM-9.00PM",9.00AM-1.00PM,7.00PM-9.00PM,9.00AM-12.00PM,#NAME?
PASIR RIS,SGP000270,OEI FAMILY CLINIC,BLK 625 ELIAS ROAD #02-316 ELIAS MALL,510625,65810800,65830362,9.30AM-9.00PM,11.00AM-4.00PM,CLOSED,,Wed & Fri only open in the morning
PASIR RIS,SGP000274,OXFORD MEDICAL CENTRE,BLK 735 PASIR RIS STREET 72 #02-330 PASIR RIS WEST PLAZA,510735,65851496,65851496,"8.30AM-12.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
PASIR RIS,SGP000562,CENTRAL CLINIC & SURGERY 24HR (PASIR RIS),BLK 446 PASIR RIS DRIVE 6 #01-122,510446,65822640,65825045,24 HOURS,24 HOURS,24 HOURS,24 HOURS,
PASIR RIS,SGP000734,O2 MEDICAL CLINIC,BLK 527D PASIR RIS STREET 51 #01-05,514527,63849443,63849443,"8.00AM-3.00PM,
6.00PM-9.00PM",8.00AM-1.00PM,8.00AM-1.00PM,CLOSED,
