AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
BUKIT BATOK,SGP000317,STARCARE CLINIC & SURGERY PTE LTD,BLK 207 BUKIT BATOK STREET 21 #01-108,650207,65616878,65617698,"8.30AM-12.00PM  
2.00PM-4.00PM   
7.30PM-10.00PM (CLOSED ON WED AFTERNOONS  AND NIGHTS)",8.30AM-12.00PM,8.30AM-12.00PM,8.30AM-12.00PM,CLOSED ON WED AFTERNOONS  AND NIGHTS
BUKIT BATOK,SGP000336,TEMASEK MEDICAL CENTRE,BLK 413 BUKIT BATOK WEST AVENUE 4 #01-214,650413,65656556,65665483,"8.30AM-1.00PM
2.00PM-5.00PM",8.30AM-12.30PM,CLOSED,CLOSED,"LAST REGISTRATION
15 MINS BEFORE CLOSING TIME."
BUKIT BATOK,SGP000541,FRONTIER MEDICAL ASSOCIATES,BLK 528 BUKIT BATOK STREET 51 #01-64,650528,65665773,65665747,8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,CLOSED,
BUKIT BATOK,SGP000696,PHOENIX MEDICAL GROUP,4 HILLVIEW RISE #02-20 HILLV2,667979,67107157,67107167,9.00AM-9.00PM,9.00AM-9.00PM,9.00AM-9.00PM,CLOSED,
BUKIT BATOK,SGP000735,ONECARE CLINIC BUKIT BATOK,BLK 630 BUKIT BATOK CENTRAL #01-148,650630,65636913,65636973,"8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM",
BUKIT MERAH,SGP000121,FRIENDSHIP  CLINIC & SURGERY,BLK 1 JALAN BUKIT MERAH #01-4524,150001,62726628,64760848,"MON-THU: 8.30AM-
1.00PM, 5.00PM-
7.00PM   FRI:
8.30AM-1.00PM,
2.00PM-4.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
BUKIT MERAH,SGP000027,BUKIT MERAH CENTRAL MEDICAL CENTRE,BLK 165 BUKIT MERAH CENTRAL #03-3683,150165,62735455,62748846,"8.30AM-1.00PM,
2.00PM-5.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
BUKIT MERAH,SGP000079,"DRS KOO, KOH & ASSOCIATES  PTE LTD",BLK 163 BUKIT MERAH CENTRAL #01-3609,150163,62712395,62712396,"8.30AM-1.30PM,
2.30PM-4.30PM,
7.00PM-9.00PM (CLOSED ON TUE/THU/FRI NIGHTS)",9.00AM-12.30PM,CLOSED,CLOSED,
BUKIT MERAH,SGP000308,SHALOM CLINIC & SURGERY,BLK 123 BUKIT MERAH LANE 1 #01-104,150123,62780270,62784215,"9.00AM-12.30PM,
2.00PM-5.30PM",9.00AM-12.30PM,CLOSED,CLOSED,
BUKIT MERAH,SGP000201,LEONG CLINIC,BLK 63B LENGKOK BAHRU #01-366,152063,64760572,64766693,"9.00AM-1.00PM   
3.00PM-7.00PM",9.00AM-1.00PM,9.30AM-12.30PM,CLOSED,
BUKIT MERAH,SGP000529,LUM CLINIC & SURGERY,BLK 109 BUKIT PURMEI ROAD #01-149,90109,62784827,62784827,"MON/WED/FRI: 
9.00AM-12.30PM 
2.00PM-4.30PM 
6.30PM-8.30PM    TUE/THU: 
9.00AM-12.30PM 
2.00PM-7.30PM",9.00AM-12.30PM,CLOSED,CLOSED,Closed on Tue & Thu nights
BUKIT MERAH,SGP000257,NEW HEALTH FAMILY CLINIC PTE LTD,BLK 108 DEPOT ROAD #01-08 DEPOT HEIGHTS SHOPPING CENTRE,100108,62786200,62767140,"MON-FRI: 8.00AM-
1.00PM   MON & WED: 6.00PM-
7.30PM   TUE & THU: 5.30PM-
7.30PM",8.00AM-11.30AM,CLOSED,CLOSED,"NO DOCTOR FROM 15-
21 OCT 2015."
BUKIT MERAH,SGP000553,DRS CHUA & PARTNERS (AV) PTE LTD,BLK 125 BUKIT MERAH LANE 1 #01-174,150125,63773179,63773169,"MON-FRI: 8.30AM-
12.30PM, 2.00PM-
5.00PM   MON:
7.00PM-9.00PM",8.30AM-2.30PM,CLOSED,CLOSED,
BUKIT MERAH,SGP000621,FRONTIER MEDICAL ASSOCIATES  (HAVELOCK),BLK 51 HAVELOCK  ROAD #01-02,161051,66843770,66843771,"8.30AM-2.00PM,
6.00PM-10.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
