AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
BEDOK,SGP000004,ALLIANCE CLINIC & PARTNERS PTE LTD,BLK 652 JALAN TENAGA #01-50,410652,68469585,68423821,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON FRI EVENING)",8.30AM-12.30PM,8.30AM-12.30PM,9.00AM-12.00PM,
BEDOK,SGP000014,BEDOK CLINIC & SURGERY,BLK 17 BEDOK SOUTH ROAD #01-565,460017,62410943,64420966,"9.00AM-12.30PM   
2.30PM-5.00PM   
7.00PM-9.00PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
BEDOK,SGP000015,BEDOK FAMILY CLINIC & SURGERY,BLK 218 BEDOK NORTH STREET 1 #01-17,460218,64410236,64410276,"8.00AM-12.45PM   
2.00PM-4.45PM   
6.00PM-11.45PM","8.00AM-12.45PM
 
2.00PM-4.45PM   
6.00PM-11.45PM","8.00AM-12.45PM
 
2.00PM-4.45PM   
6.00PM-11.45PM","8.00AM-12.45PM
 
2.00PM-4.45PM   
6.00PM-11.45PM",
BEDOK,SGP000165,HONG WHYE CLINIC,BLK 412 BEDOK NORTH AVENUE 2 #01-144,460412,64445355,64416270,"9.00AM-12.30PM   
2.00PM-4.30PM   
7.00PM-9.00PM","9.00AM-12.30PM
 
2.00PM-4.30PM",9.00AM-12.30PM,9.00AM-12.30PM,
BEDOK,SGP000173,ISLAND GROUP CLINIC BEDOK,BLK 25 NEW UPPER CHANGI ROAD #01-646,462025,62416666,62416102,"9.00AM-12.30PM   
2.00PM-5.00PM   
7.00PM-9.00PM",9.00AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,
BEDOK,SGP000177,JOY FAMILY CLINIC,BLK 703 BEDOK RESERVOIR  ROAD #01-3506,470703,64422483,64428613,"MON, WED:  
9.00AM-1.00PM,  
6.30PM-8.30PM TUE, THU,  
FRI: 9:00AM-
1.00PM,  
2.00PM-4.00PM",9.00AM-1.00PM,CLOSED,CLOSED,Patient to arrive at least 15mins before closing
BEDOK,SGP000199,LEE CLINIC,BLK 123 BEDOK NORTH STREET 2 #01-156,460123,62418827,62414724,"9.00AM-1.00PM   
3.00PM-5.30PM",9.00AM-1.00PM,9.00AM-12.00PM,9.00AM-12.00PM,
BEDOK,SGP000302,S T MEDICAL CLINIC,BLK 531 BEDOK NORTH STREET 3 #01-694,460531,64440159,64440159,"8.30AM-1.00PM,
2.00PM-4.00PM,
7.00PM-9.00PM (CLOSED ON FRI NITE)",8.30AM-12.00PM,9.30AM-12.00PM,9.30AM-12.00PM,"TEMPORARY  CLOSURE FROM 20-25 OCTOBER
2015."
BEDOK,SGP000285,PHOON CLINIC & SURGERY,BLK 632 BEDOK RESERVOIR  ROAD #01-828,470632,64452119,64487329,"9.00AM-12.00PM,
2.00PM-4.00PM,
7.00PM-8.30PM","9.00AM-12.00PM,
2.00PM-4.00PM",9.00AM-11.30AM,9.00AM-11.30AM,"TEMPORARY  CLOSURE FROM 15-17 OCT 2015
& 13-17 DEC 2015."
BEDOK,SGP000339,TEMASEK MEDICAL CLINIC,BLK 86 BEDOK NORTH STREET 4 #01-177,460086,64430949,64430949,"8.30AM-12.30PM   
2.00PM-4.00PM  
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,Closed on Fri afternoons
BEDOK,SGP000386,WONG FAMILY CLINIC & SURGERY,BLK 117 BEDOK RESERVOIR  ROAD #01-68,470117,68461613,68486925,"8.30AM-12.15PM,
2.00PM-4.45PM,
7.00PM-9.30PM (CLOSED ON FRI AFTERNOON)",8.30AM-12.30PM,CLOSED,CLOSED,
