AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
TOA PAYOH,SGP000428,TEOH CLINIC FAMILY PRACTICE,BLK 47 LORONG 6 TOA PAYOH #01-142,310047,62555188,62506070,"8.30AM-12.30PM   
2.30PM-4.30PM  
7.00PM-9.00PM",8.30AM-12.00PM,10.00AM-12.00PM,CLOSED,
TOA PAYOH,SGP000485,FAMILYCARE  CLINIC AND SURGERY,BLK 85C LORONG 4 TOA PAYOH #01-380,313085,62509033,63561521,"9.00AM-12.30PM,
2.00PM-4.00PM,
7.30PM-10.00PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
TUAS,SGP000724,TUAS MEDICAL CENTRE,70 TUAS SOUTH AVENUE 1 #01-08/09,637285,63344402,63345404,6.00PM-9.00PM,6.00PM-9.00PM,6.00PM-9.00PM,6.00PM-9.00PM,
UBI,SGP000002,ADVANCE CLINIC & SURGERY PTE LTD,BLK 301 UBI AVENUE 1 #01-269,400301,67421156,67426191,"8.30AM-5.30PM   
7.00PM-9.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
UBI,SGP000031,CARITAS CLINIC,BLK 304 UBI AVENUE 1 #01-127,400304,67489284,67421955,"MON-THU: 
8.30AM-1.00PM 
2.00PM-4.00PM 
6.00PM-7.30PM    FRI: 
8.30AM-12.00PM 
2.00PM-4.00PM",9.30AM-12.00PM,9.30AM-12.00PM,CLOSED,
WOODLANDS,SGP000640,WOODGROVE  MEDICAL,30 WOODLANDS  AVENUE 1 #02-03/04 THE WOODGROVE,739065,63668831,63669961,"8.30AM-4.00PM,
6.00PM-9.30PM",8.30AM-4.00PM,8.30AM-4.00PM,CLOSED,
WOODLANDS,SGP000160,HEALTHWAY  MEDICAL CLINIC (WOODLANDS),BLK 888 WOODLANDS  DRIVE 50 #02-737 888 Plaza,730888,63649661,63649662,"8.30AM-1.00PM,
2.00PM-5.00PM,
6.30PM-9.30PM (CLOSED ON FRI NIGHT)",8.30AM-1.00PM,8.30AM-12.30PM,CLOSED,
WOODLANDS,SGP000166,HOPE FAMILY CLINIC & SURGERY,"BLK 883 WOODLANDS  STREET 82 #01-470
WOODLANDS  NORTH PLAZA",730883,63691328,63691328,"8.30AM-12.30PM   
1.30PM-3.30PM   
7.00PM-9.00PM",8.30AM-12.00PM,CLOSED,CLOSED,
WOODLANDS,SGP000299,ROYAL MEDICAL CENTRE,BLK 111 WOODLANDS  STREET 13 #01-84,730111,63656855,63623254,"8.30AM-1.00PM   
2.00PM-4.00PM   
6.30PM-9.00PM",8.30AM-12.30PM,9.00AM-12.30PM,,
WOODLANDS,SGP000658,A & A CLINIC,BLK 570B WOODLANDS  AVE 1 #01-07,732570,63390883,,"9.00AM-12.30PM,
6.00PM-8.30PM (CLOSED ON TUE & THU NIGHT)",9.00AM-12.30PM,CLOSED,CLOSED,
WOODLANDS,SGP000295,REGIONAL PATIENTCARE MEDICAL GROUP PTE LTD,BLK 678 WOODLANDS  AVENUE 6 #01-726,730678,63669027,68939839,"MON-THU: 9.00AM-
9.00PM   FRI:
9.00AM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,"- LAST REGISTRATION
1 HOUR BEFORE CLOSING TIME."
WOODLANDS,SGP000312,SINGAPORE  FAMILY CLINIC & SURGERY (WOODLANDS),BLK 717 WOODLANDS  DRIVE 70 #01-114,730717,63647450,63647451,"8.00AM-1.00PM   
2.00PM-5.00PM  
6.00PM-12.00AM","8.00AM-1.00PM   
2.00PM-5.00PM   
6.00PM-12.00AM","8.00AM-1.00PM   
2.00PM-5.00PM   
6.00PM-12.00AM","8.00AM-1.00PM   
2.00PM-5.00PM   
6.00PM-12.00AM",
WOODLANDS,SGP000338,TEMASEK MEDICAL CENTRE,"BLK 883 WOODLANDS  STREET 82 #01-464
WOODLANDS  NORTH PLAZA",730883,63668366,62690138,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON TUE/WED/FRI EVENING)",8.30AM-12.30PM,9.00AM-12.00PM,CLOSED,"CLOSED ON TUE, WED
& FRI NIGHTS. LAST REGISTRATION 15
MINS BEFORE CLOSING
TIME."
