AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
WOODLANDS,SGP000387,WOODLANDS  FAMILY CLINIC,BLK 305 WOODLANDS  STREET 31 #01-85,730305,63654770,63658075,"8.30AM-12.30PM   
2.00PM-4.30PM   
6.30PM-9.00PM (CLOSED ON FRI EVENING)",8.30AM-12.30PM,CLOSED,CLOSED,
WOODLANDS,SGP000388,WOODLANDS  MEDICAL CENTRE,BLK 210 MARSILING CRESCENT #01-09,730210,62698888,63654119,"8.30AM-12.15PM   
2.00PM-4.15PM   
6.00PM-8.15PM",8.30AM-12.15PM,8.30AM-12.15PM,CLOSED,
WOODLANDS,SGP000564,CENTRAL 24-HR CLINIC (WOODLANDS),BLK 768 WOODLANDS  AVENUE 6 #02-06A WOODLANDS  MART,730768,63654895,63621895,24 HOURS,24 HOURS,24 HOURS,24 HOURS,
WOODLANDS,SGP000710,PROCROSS MEDICAL CENTRE (WOODLANDS),BLK 689A WOODLANDS  DRIVE 75 #01-86,731689,62199648,62199649,"8.00AM-12.00PM,
5.00PM-8.00PM",12.30PM-3.00PM,12.30PM-3.00PM,12.30PM-3.00PM,
WOODLANDS,SGP000729,DR NAH & LEE FAMILY CLINIC,BLK 780 WOODLANDS  CRESCENT #01-03,730780,62501528,62501779,"7.00AM-4.00PM,
6.00PM-9.00PM",CLOSED,7.00AM-1.00PM,CLOSED,
YISHUN,SGP000128,H S LEE CLINIC & SURGERY,BLK 173 YISHUN AVENUE 7 #01-823,760173,67550630,67555524,"8.30AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
YISHUN,SGP000042,CHANLAI HEALTHCARE  CLINIC,BLK 604 YISHUN STREET 61 #01-325,760604,67563456,67565600,"MON-THU: 9.00AM-
12.30PM, 2.30PM-
4.30PM, 7.00PM-
9.00PM   FRI:
9.00AM-12.30PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
YISHUN,SGP000152,HEALTHWAY  MEDICAL CENTRE,BLK 417 YISHUN AVENUE 11 #01-322,760417,67537626,67530125,"8.30AM-12.30PM  
2.00PM-5.00PM   
6.30PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,Closed on Wed afternoons.
YISHUN,SGP000394,YISHUN CENTRAL MEDICAL CLINIC,BLK 160 YISHUN STREET 11 #01-212,760160,67558931,67558931,"8.30AM-12.30PM   
2.00PM-4.00PM   
6.30PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
YISHUN,SGP000655,ATRIO FAMILY CLINIC PTE LTD,291 YISHUN STREET 22 #01-349,760291,67520838,67520838,"8.00AM-2.00PM,
5.30PM-10.30PM (LAST REGISTRATION
1.15PM & 9.45PM)","8.00AM-2.00PM,
5.30PM-10.30PM (LAST REGISTRATION
1.15PM & 9.45PM)","9.00AM-2.00PM,
5.30PM-10.30PM (LAST REGISTRATION
1.15PM & 9.45PM)",CLOSED,"(LAST REGISTRATION
1.15PM & 9.45PM)"
YISHUN,SGP000374,UNITED HEALTH FAMILY CLINIC & SURGERY,BLK 627 YISHUN STREET 61 #01-63,760627,62571182,62571182,"8.30AM-12.30PM   
2.00PM-4.30PM  
6.30PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
YISHUN,SGP000296,REGIONAL PATIENTCARE MEDICAL GROUP PTE LTD,BLK 932 YISHUN CENTRAL 1 #01-97,760932,67561611,67568028,"8.30AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON TUE/THU EVENING)",8.30AM-12.30PM,CLOSED,CLOSED,
YISHUN,SGP000501,PUBLIC MEDICAL CLINIC & SURGERY,BLK 664 YISHUN AVENUE 4 #01-275,760664,67556539,67552320,"8.30AM-12.30PM,
2.30PM-4.30PM,
7.00PM-9.00PM",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,
