AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
QUEENSTOW N,SGP000237,MEI LING CLINIC LLP,BLK 158 MEI LING STREET #01-80,140158,64741782,64749201,"8.00AM-1.00PM,
6.00PM-8.30PM",8.00AM-11.30AM,8.00AM-11.30AM,CLOSED,PATIENT TO ARRIVE AT LEAST 15 MINS BEFORE CLOSING. PATIENTS SEEN AFTER NORMAL REGISTRATION AND OPERATING  HOURS WILL BE ON CASH TERMS ONLY.
RAFFLES PLACE,SGP000069,DR LIM LEAN HUAT & ASSOCIATES  PTE LTD,6 SHENTON WAY #40-03 OUE DOWNTOWN  1,68809,63238611,63238011,"9.00AM-1.00PM   
3.00PM-6.00PM",9.00AM-1.00PM,CLOSED,CLOSED,
RAFFLES PLACE,SGP000180,K N CHIN & ASSOCIATES  PTE LTD,24 RAFFLES PLACE #02-18 CLIFFORD CENTRE,48621,65389533,65365815,8.30AM-5.30PM,8.30AM-12.30PM,CLOSED,CLOSED,
RAFFLES PLACE,SGP000132,HEALTH PARTNERS MEDICAL CLINIC,100 CECIL STREET #09-01 THE GLOBE,69532,62255036,62255478,"8.30AM-1.00PM   
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
RAFFLES PLACE,SGP000074,CLIFFORD DISPENSARY  PTE LTD,77 ROBINSON ROAD #06-02 ROBINSON 77,68809,62223181,65353231,"9.00AM-1.00PM   
2.00PM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,"Last registration  at
4.30pm"
RAFFLES PLACE,SGP000089,DRS THOMPSON  & THOMSON (RADLINK MEDICARE) PTE LTD,24 RAFFLES PLACE #02-08 CLIFFORD CENTRE,48621,65325376,65333860,"8.30AM-5.00PM (LAST REGISTRATION
15MINS BEFORE CLOSING)","8.45AM-11.45AM (NO DOCTOR, FOR ADMIN WORK ONLY)",CLOSED,CLOSED,
RAFFLES PLACE,SGP000333,NORTHEAST  (TMA) MEDICAL ASSOCIATES  PTE LTD,20 MALACCA STREET #B1-00,48979,65572770,65361413,"8.30AM-1.00PM,
2.00PM-5.30PM (FRIDAY CLOSED AT
5.00PM)",CLOSED,CLOSED,CLOSED,
RAFFLES PLACE,SGP000359,THE MEDICAL CENTRE CLINIC (HONG LEONG),16 RAFFLES QUAY #B1-15 HONG LEONG BUILDING,48581,62207585,62217387,8.30AM-5.15PM,8.30AM-1.15PM,CLOSED,CLOSED,
RAFFLES PLACE,SGP000411,PROVIDENCE  MEDICAL CENTRE PTE LTD,8 CROSS STREET #01-03 PWC BUILDING,48424,62262232,65362232,8.30AM-5.30PM,9.00AM-12.30PM,CLOSED,CLOSED,
RAFFLES PLACE,SGP000569,THE CLINIC @ ONE GEORGE STREET,1 GEORGE STREET #05-05,49145,64385322,64381575,"8.30AM-1.00PM,
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
RAFFLES PLACE,SGP000596,TRINITY MEDICAL (SHENTON),6 SHENTON WAY #21-10 OUE DOWNTOWN  TWO,68809,62279918,62272207,"9.00AM-1.00PM,
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
RAFFLES PLACE,SGP000717,SHENTON MEDICAL GROUP (THE ARCADE),11 COLLYER QUAY #19-01 THE ARCADE,49317,65079730,62240608,8.30AM-5.30PM,8.30AM-12.30PM,CLOSED,CLOSED,
RAFFLES PLACE,SGP000736,SMG MEDICAL,11 COLLYER QUAY #03-28 THE ARCADE,49317,62211358,62212696,8.30AM-5.30PM,CLOSED,CLOSED,CLOSED,
RIVER VALLEY,SGP000370,TWIN CITY MEDICAL CENTRE,1 KIM SENG PROMENADE  #01-32 GREAT WORLD CITY,237994,62351175,62351187,"9.00AM-12.45PM,
2.00PM-5.15PM",9.00AM-12.45PM,CLOSED,CLOSED,
RIVER VALLEY,SGP000732,PINNACLE FAMILY CLINIC,240 RIVER VALLEY ROAD,238297,68366986,68365969,"MON-TUE: 8.30AM-
1.00PM, 2.00PM-
8.00PM   WED-FRI:
8.30AM-1.00PM,
2.00PM-6.30PM",9.00AM-1.00PM,9.00AM-12.00PM,CLOSED,
SELETAR,SGP000733,KANG CLINIC,229 JALAN KAYU,799453,64811044,67553930,"8.30AM-12.00PM,
2.15PM-4.15PM (CLOSED ON TUE & THU)",8.30AM-12.00PM,CLOSED,CLOSED,
