AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
SERANGOON,SGP000554,JOASH FAMILY CLINIC & SURGERY,1030 UPPER SERANGOON  ROAD,534767,62827371,62827371,"9.00AM-4.00PM,
6.30PM-9.30PM (CLOSED ON FRI NIGHT)",9.00AM-1.00PM,"9.00AM-1.00PM (CLOSED ON 1ST,
3RD, 5TH WEEK OF THE MONTH)",CLOSED,
SERANGOON,SGP000595,KENSINGTON  FAMILY CLINIC (SERANGOON GARDENS) PTE LTD,14D KENSINGTON  PARK ROAD,557265,62884882,62884112,"8.00AM-3.00PM,
6.00PM-10.00PM","8.00AM-3.00PM,
6.00PM-10.00PM","8.00AM-3.00PM,
6.00PM-10.00PM","8.00AM-3.00PM,
6.00PM-10.00PM",LAST REGISTRATION HALF HOUR BEFORE CLOSING.
SERANGOON,SGP000698,THE FAMILY PHYSICIAN  CLINIC,BLK 542B SERANGOON  NORTH AVE 3 #01-02,552542,65551828,65551829,"8.30AM-4.00PM,
6.00PM-10.00PM",9.00AM-1.00PM,9.00AM-1.00PM,CLOSED,
SIMEI,SGP000053,CHUA MEDICAL CENTRE PTE LTD,BLK 248 SIMEI STREET 3 #01-134,520248,67853825,67853825,"9.00AM-12.30PM,
2.30PM-6.00PM",CLOSED,9.00AM-3.00PM,9.00AM-3.00PM,"CLOSED ON CHINESE NEW YEAR'S DAY, GOOD FRIDAY AND CHRISTMAS"
SIMEI,SGP000310,SIMEI CLINIC & SURGERY,BLK 248 SIMEI STREET 3 #01-132,520248,67855021,67879220,"8.30AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.30PM","8.30AM-12.30PM,
2.30PM-5.00PM",7.00PM-9.30PM,8.30AM-12.30PM,PATIENT TO ARRIVE AT LEAST 30MINS BEFORE CLOSING.
SIMEI,SGP000429,NORTHEAST  (SIMEI) MEDICAL CENTRE PTE LTD,30 SIMEI STREET 3 #02-01 SIMEI MRT STATION,529888,67838638,67835638,8.00AM-11.00PM,8.00AM-11.00PM,8.00AM-11.00PM,9.00AM-9.00PM,
SIN MING,SGP000135,HEALTHCARE  FAMILY CLINIC & SURGERY,BLK 403 SIN MING AVENUE #01-311,570403,64542373,64550869,"8.30AM-12.00PM   
2.00PM-4.00PM   
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
TAMPINES,SGP000119,F K LIM FAMILY CLINIC,BLK 267 TAMPINES STREET 21 #01-43,520267,67860201,,"8.30AM-12.30PM  
2.00PM-4.30PM   
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,,Closed on Wed afternoons
TAMPINES,SGP000375,UNITED MEDICAL PRACTITIONERS PTE LTD,BLK 139 TAMPINES STREET 11 #01-16,521139,67812281,67872315,"8.30AM-12.30PM,
2.00PM-4.30PM,
6.45PM-8.45PM (CLOSED ON THU AFTERNOON)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
TAMPINES,SGP000043,CHARIS CLINIC & SURGERY,BLK 164 TAMPINES STREET 12 #01-295,521164,67822332,67822332,"8.30AM-12.30PM,
2.00PM-4.30PM",CLOSED,8.30AM-12.30PM,CLOSED,
TAMPINES,SGP000034,CECILIA FAMILY CLINIC & SURGERY,BLK 484 TAMPINES STREET 43 #01-224,520484,67883812,67883812,"8.30AM-12.30PM,
2.00PM-4.30PM",8.30AM-12.00PM,CLOSED,CLOSED,
TAMPINES,SGP000050,CHOONG'S CLINIC,BLK 480 TAMPINES STREET 44 #01-261,520480,67885190,67885190,"8.30AM-11.30PM   
2.30PM-4.00PM   
7.00PM-8.30PM",8.30AM-11.30AM,8.30AM-11.30AM,8.30AM-11.30AM,
TAMPINES,SGP000171,HWANG & LIANG FAMILY CLINIC,BLK 476 TAMPINES STREET 44 #01-173,520476,67870778,67878777,"8.30AM-12.00PM  
2.00PM-4.30PM   
6.30PM-8.30PM",9.00AM-12.30PM,CLOSED,CLOSED,
TAMPINES,SGP000192,KOH CLINIC & SURGERY PTE LTD,BLK 801 TAMPINES AVENUE 4 #01-269,520801,67822882,67864465,"8.30AM-12.30PM  
2.00PM-4.30PM   
7.00PM-9.00PM","8.30AM-12.30PM
 
2.00PM-4.00PM",8.30AM-12.30PM,8.30AM-12.30PM,
TAMPINES,SGP000304,SEASONS CLINIC,BLK 844 TAMPINES STREET 82 #01-139,520844,67877836,67865186,"8.30AM-12.30PM   
2.00PM-5.00PM   
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,
