AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
TIONG BAHRU,SGP000391,YIM CLINIC,11A BOON TIONG ROAD #02-03,161011,62707587,62732316,"8.00AM-1.00PM,
1.30PM-5.00PM,
5.30PM-8.00PM",8.00AM-1.00PM,8.00AM-1.00PM,CLOSED,
TIONG BAHRU,SGP000706,ICARE MEDICAL AND WELLNESS CLINIC,BLK 22 HAVELOCK  ROAD #01-701,160022,62746858,62746342,8.00AM-10.00PM,8.00AM-10.00PM,10.00AM-10.00PM,10.00AM-10.00PM,
TOA PAYOH,SGP000073,DRS CHAN & TANG FAMILY CLINIC,BLK 125 LORONG 1 TOA PAYOH #01-549,310125,62511782,62511023,"8.30AM-12.30PM   
2.00PM-5.00PM   
7.00PM-9.00PM (CLOSED ON THU & FRI EVENING)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
TOA PAYOH,SGP000056,C K TAN FAMILY CLINIC & SURGERY PTE LTD,BLK 125 LORONG 1 TOA PAYOH #01-537,310125,62514438,62514438,"8.30AM-12.00PM   
1.30PM-4.00PM   
5.30PM-8.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
TOA PAYOH,SGP000045,CHNG CLINIC & SURGERY,BLK 178 TOA PAYOH CENTRAL #01-236,310178,62504522,62533803,"8.30AM-12.30PM   
2.00PM-4.30PM   
7.00PM-9.00PM (CLOSED ON WED & FRI EVENING)",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
TOA PAYOH,SGP000010,ASSOCIATE DISPENSARIES,BLK 94 LORONG 4 TOA PAYOH #01-20,310094,62562308,62562308,"MON/THU: 
9.00AM-12.30PM 
2.30PM-5.00PM 
7.00PM-9.00PM    TUE/WED/FRI: 
9.00AM-12.30PM 
2.30PM-5.00PM",9.00AM-12.30PM,9.00AM-12.30PM,9.00AM-12.30PM,"Closed on New Year's Day, Labour Day, National Day, Christmas and Chinese New Year's Day"
TOA PAYOH,SGP000030,CAMRY MEDICAL CENTRE,BLK 95 LORONG 4 TOA PAYOH #01-66,310095,62580553,62589353,"8.30AM-12.00PM,
1.00PM-4.00PM",8.30AM-12.00PM,CLOSED,CLOSED,
TOA PAYOH,SGP000098,EJ FAMILY CLINIC,BLK 109 LORONG 1 TOA PAYOH #01-314,310109,63530811,63530811,"8.00AM-3.00PM,
6.00PM-10.00PM",8.00AM-3.00PM,"8.00AM-3.00PM,
6.00PM-10.00PM",8.00AM-12.30PM (*CLINIC CLOSE ON CERTAIN PUBLIC HOLIDAYS),PATIENT TO ARRIVE AT LEAST 15MINS BEFORE CLOSING.
TOA PAYOH,SGP000222,MAKE-WELL  FAMILY CLINIC & SURGERY,BLK 70 LORONG 4 TOA PAYOH #01-351,310070,62534235,63545461,"10.00AM-12.00PM,
3.00PM-4.00PM",10.00AM-12.00PM,CLOSED,CLOSED,
TOA PAYOH,SGP000421,MEI LING CLINIC (TOA PAYOH) LLP,BLK 500 LORONG 6 TOA PAYOH #04-33 HDB HUB,310500,62535600,62530722,"9.00AM-1.00PM,
2.00PM-5.00PM (LAST REGISTRATION 15
MINS BEFORE CLOSING)","9.00AM-12.00PM (LAST REGISTRATION 15
MINS BEFORE CLOSING)",CLOSED,CLOSED,"(LAST REGISTRATION
15 MINS BEFORE CLOSING)"
TOA PAYOH,SGP000427,MEDIVIEW CLINIC AND SURGERY,BLK 150 LORONG 1 TOA PAYOH #01-999,310150,62532351,64423715,"MON-TUE: 8.30AM-
12.30PM, 2.00PM-
4.00PM, 7.00PM-
9.00PM   WED-FRI:
8.30AM-12.30PM,
2.00PM-5.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
