AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
TANJONG PAGAR,SGP000243,MHC MEDICAL CENTRE (AMARA),100 TRAS STREET #15-01 100 AM,79027,62255220,62255426,9.00AM-5.00PM,9.00AM-1.00PM,CLOSED,CLOSED,"Pre-appointment ends at 4pm on Weekdays and 12pm on Sat. Last registration  is at
4.30pm."
TANJONG PAGAR,SGP000716,SHENTON MEDICAL GROUP (INTERNATIONAL PLAZA),10 ANSON ROAD #36-01 INTERNATIONAL PLAZA,79903,62202911,62246865,"8.30AM-1.00PM,
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
TEBAN,SGP000331,TEBAN GARDEN CLINIC,BLK 61 TEBAN GARDENS ROAD #01-01,600061,65619052,65623906,"9.00AM-12.30PM,
2.00PM-5.00PM,
6.30PM-8.30PM",9.00AM-12.30PM,CLOSED,CLOSED,
TEBAN,SGP000260,NEWLIFE FAMILY CLINIC & SURGERY PTE LTD,BLK 61 TEBAN GARDENS ROAD #01-20,600061,65663770,65668941,"MON-THU: 9.00AM-
12.00PM, 2.30PM-
4.30PM, 7.00PM-
9.00PM (CLOSE ON WED & THU NIGHT) FRI: 9.00AM-
12.00PM   EVE OF PH: 9.00AM-
12.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,"HOLIDAY EVE: 9.00AM-
12.00PM"
TELOK BLANGAH,SGP000332,TELOK BLANGAH MEDICAL CENTRE,BLK 77 TELOK BLANGAH DRIVE #01-244,100077,62782727,62720963,8.30AM-1.00PM,8.30AM-1.00PM,8.30AM-12.30PM,8.30AM-12.30PM,
TELOK BLANGAH,SGP000463,HEALTHPLUS  FAMILY CLINIC & SURGERY,BLK 78A TELOK BLANGAH STREET 32 #01-02,101078,62733327,62733360,"8.30AM-12.30PM  
2.00PM-4.30PM   
7.00PM-11.00PM","8.30AM-12.30PM
 
7.00PM-11.00PM","8.30AM-12.30PM
 
7.00PM-11.00PM","8.30AM-12.30PM
 
7.00PM-11.00PM",
THOMSON,SGP000628,MHC MEDICAL CENTRE (NOVENA),10 SINARAN DRIVE #09-10 SQUARE 2,307506,63976568,63976578,"8.30AM-12.30PM,
1.30PM-4.30PM",CLOSED,CLOSED,CLOSED,
THOMSON,SGP000047,CHONG'S CLINIC,234 UPPER THOMSON ROAD,574365,64536492,64536035,"8.30AM-12.30PM   
2.00PM-4.00PM  
6.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,Closed on Wed nights
THOMSON,SGP000151,HEALTHWAY  MEDICAL CENTRE,238 THOMSON ROAD #03-32A NOVENA SQUARE,307683,63528696,63528695,"8.30AM-12.30PM   
2.00PM-5.30PM",9.00AM-1.00PM,CLOSED,CLOSED,
THOMSON,SGP000606,HILL SPRING MEDICAL,12 JALAN LEBAN,577552,64563200,64563070,"8.30AM-4.00PM,
6.00PM-9.30PM",8.30AM-4.00PM,"8.30AM-4.00PM,
6.00PM-9.30PM",CLOSED,
TIONG BAHRU,SGP000634,HEALTH FIRST FAMILY CLINIC,BLK 26 JALAN MEMBINA #01-06,161026,67932833,67932877,"8.30AM-4.30PM,
7.00PM-9.30PM",8.30AM-12.30PM,"8.30AM-12.30PM,
7.00PM-9.30PM","8.30AM-12.30PM,
7.00PM-9.30PM",
TIONG BAHRU,SGP000051,CHUA & PARTNERS FAMILY CLINIC,BLK 18 JALAN MEMBINA #02-05,164018,62719004,62711601,"8.00AM-3.30PM  
6.00PM-9.30PM","8.00AM-3.30PM  
6.00PM-9.30PM",CLOSED,8.00AM-3.00PM,Patients to be registered 30mins before closing
TIONG BAHRU,SGP000017,BEO CRESCENT FAMILY CLINIC & SURGERY,BLK 40 BEO CRESCENT #01-02,160040,62750269,62750062,"9.00AM-1.00PM
2.00PM-4.30PM
6.30PM-9.00PM",9.00AM-12.30PM,9.00AM-12.30PM,9.00AM-12.30PM,
TIONG BAHRU,SGP000662,FIRSTHEALTH  CLINIC & SURGERY,126 KIM TIAN ROAD #01-04 MULTISTOREY CARPARK,160126,66944981,66944982,"8.30AM-1.00PM,
6.00PM-9.00PM",8.30AM-12.30PM,"9.00AM-1.00PM,
6.00PM-10.00PM","9.00AM-1.00PM,
6.30PM-9.30PM",
TIONG BAHRU,SGP000366,TIONG BAHRU MEDICAL CENTRE PTE LTD,10 KIM TIAN ROAD  KAI FOOK MANSION,169248,62727966,62787216,"10.00AM-12.30PM,
2.00PM-5.30PM",10.00AM-12.30PM,CLOSED,CLOSED,
