AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
CLEMENTI,SGP000385,WEST COAST CLINIC & SURGERY,BLK 722 CLEMENTI WEST STREET 2 #01-162,120722,67770183,67770183,"8.30AM-12.15PM   
2.00PM-4.15PM   
6.30PM-8.15PM",8.30AM-12.15PM,9.00AM-12.15PM,CLOSED,
CLEMENTI,SGP000565,CENTRAL CLINIC & SURGERY 24HR (CLEMENTI),BLK 450 CLEMENTI AVENUE 3 #01-291,120450,67732925,67732927,24 HOURS,24 HOURS,24 HOURS,24 HOURS,
CLEMENTI,SGP000693,LC CLINIC MEDICAL SURGERY AESTHETICS,BLK 446 CLEMENTI AVENUE 3 #01-191,120446,64562448,64571129,8.00AM-10.00PM,8.00AM-10.00PM,10.30AM-10.00PM,8.00AM-10.00PM,
COMMONWEA LTH,SGP000472,MEDICAL CENTRE @ COMMONWEALTH,BLK 88 TANGLIN HALT ROAD #01-03,141088,64756116,64766116,"8.30AM-12.30PM,
1.30PM-5.00PM,
6.30PM-9.00PM",9.00AM-2.00PM,CLOSED,CLOSED,
DOVER,SGP000066,DOVER CLINIC AND SURGERY PTE LTD,BLK 28 DOVER CRESCENT #01-89,130028,67757410,67762851,"8.30AM-5.00PM   
7.00PM-9.00PM",8.30AM-2.00PM,CLOSED,CLOSED,
DOVER,SGP000067,DOVER MEDICAL CENTRE,BLK 69 AYER RAJAH CRESCENT #01-03 AYER RAJAH AMENITY CENTRE,139961,67756266,67756966,8.30AM-5.30PM,CLOSED,CLOSED,CLOSED,
DOVER,SGP000523,TRINITY MEDICAL CLINIC,BLK 19A DOVER CRESCENT #01-01 DOVER VILLE,131019,67788868,67788868,9.00AM-5.30PM,9.00AM-4.00PM,9.00AM-11.30AM,CLOSED,
EAST COAST,SGP000120,FRANKEL CLINIC,697 EAST COAST ROAD #01-01,459060,64455457,64455457,"9.15AM-12.15PM   
2.30PM-4.15PM   
7.00PM-8.30PM",9.15AM-12.15PM,9.15AM-12.15PM,9.15AM-12.15PM,
EAST COAST,SGP000202,LIANG CLINIC,695D EAST COAST ROAD,459059,62415944,64450141,"8.30AM-12.00PM,
2.00PM-5.00PM (CLOSED ON WED AFTERNOON)",8.30AM-12.00PM,CLOSED,CLOSED,
EAST COAST,SGP000029,C & K FAMILY CLINIC PTE LTD,108 UPPER EAST COAST ROAD,455297,62429588,62429277,"9.00AM-12.00PM,
6.00PM-9.00PM",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,"CLOSED ON CHRISTMAS  AND CHINESE NEW YEAR'S DAY. 
LAST REGISTRATION IS
30MINS BEFORE CLOSING TIME."
EAST COAST,SGP000038,CHAN FAMILY CLINIC,865 MOUNTBATTEN ROAD #02-81H KATONG SHOPPING CENTRE,437844,63454683,,9.00AM-4.00PM,9.00AM-1.00PM,CLOSED,CLOSED,
EAST COAST,SGP000093,EAST COAST FAMILY CLINIC PTE LTD,121 MEYER ROAD #01-05 THE MAKENA,437932,64404556,63483858,"MON/TUE/THU/FRI:
8.30AM-3.00PM,
6.30PM-8.30PM (CLOSED FRI NIGHT) WED: 8.30AM-
12.30PM, 6.30PM-
8.30PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
FARRER,SGP000390,YAP MEDICARE CLINIC PTE LTD,BLK 8 EMPRESS ROAD #01-03,260008,64712338,64763371,"8.30AM-11.45AM   
2.00PM-3.45PM   
7.00PM-8.30PM",8.30AM-11.45AM,8.30AM-11.45AM,,"Closed on Chinese New Year's Day, Christmas, New Year's Day's Day & National Day"
GEYLANG,SGP000311,SIMS DRIVE MEDICAL CLINIC,BLK 53 SIMS PLACE #01-174,380053,67411607,67411607,"8.30AM-12.30PM  
2.00PM-4.30PM   
7.00PM-9.00PM","8.30AM-12.30PM
 
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,
