AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
GEYLANG,SGP000721,TJ MEDICAL CLINIC & SURGERY,48 SIMS PLACE #01-167,380048,67424413,67483813,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON FRI NIGHT)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
HARBOURFRO NT,SGP000075,CLIFFORD DISPENSARY  PTE LTD,3 HARBOURFRONT PLACE #04-01 HARBOURFRONT TOWER TWO,99254,63760788,63760775,"8.30AM-1.00PM   
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
HARBOURFRO NT,SGP000604,MINT MEDICAL CENTRE,1 HARBOURFRONT PLACE #01-10 HARBOURFRONT TOWER ONE,98633,62729372,62729218,"8.30AM-6.00PM (LAST REGISTRATION 15
MINS BEFORE CLOSING)","9.30AM-12.00PM (LAST REGISTRATION 15
MINS BEFORE CLOSING)",CLOSED,CLOSED,
HOLLAND,SGP000305,SEFTON MEDICAL CENTRE PTE LTD,BLK 41 HOLLAND DRIVE #01-25,270041,64764476,64768476,"8.30AM-12.30PM,
1.30PM-4.00PM,
7.00PM-9.00PM (CLOSED ON FRI AFTERNOON  & NIGHT)",8.30AM-12.30PM,CLOSED,CLOSED,"- PATIENT TO ARRIVE AT LEAST 15 MINS BEFORE CLOSING. 
- TEMPORARY CLOSURE FROM 7-16
NOVEMBER  2015."
HOLLAND,SGP000227,MAY MEDICAL CLINIC & SURGERY,BLK 41 HOLLAND DRIVE #01-19,270041,67743318,67743329,8.00AM-12.30PM,8.00AM-12.30PM,CLOSED,CLOSED,"FOR OCT14-DEC14
SOME OF THE DAY THERE WILL BE NO LOCUM DOCTOR, PLEASE CALL CLINIC TO CHECK."
HOLLAND,SGP000343,THE ARCADIA CLINIC,2 PANDAN VALLEY #01-211 ACACIA COURT,597626,64695122,64695762,"9.00AM-12.30PM   
2.00PM-4.30PM   
6.30PM-8.30PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
HOLLAND,SGP000560,HEALTHWAY  MEDICAL CLINIC (HOLLAND DRIVE),BLK 45 HOLLAND DRIVE #01-353,270045,67789793,67789521,"8.30AM-1.00PM,
2.00PM-4.30PM,
6.00PM-8.00PM (CLOSED ON TUE/THU EVENINGS)",8.30AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,
HOLLAND,SGP000680,HOLLAND CLOSE CLINIC PTE. LTD.,BLK 31 HOLLAND CLOSE #01-231,270031,67792921,,"9.00AM-1.00PM,
6.00PM-9.00PM",9.00AM-1.00PM,6.00PM-9.00PM,CLOSED,
HOUGANG,SGP000181,K P TAN MEDICAL CLINIC,BLK 811 HOUGANG CENTRAL #01-192,530811,63823673,63856483,"8.30AM-12.30PM  
2.00PM-4.30PM   
6.30PM-8.30PM",8.30AM-12.30PM,CLOSED,CLOSED,Closed on Wed. Remarks: Clinic very crowded
HOUGANG,SGP000189,KING GEORGE'S MEDICAL CENTRE (HG) PTE LTD,BLK 916 HOUGANG AVENUE 9 #01-08,530916,63855177,63124792,"8.30AM-12.30PM,
2.00PM-4.30PM,
6.30PM-8.30PM (CLOSED ON FRI EVENING)",8.30AM-12.30PM,CLOSED,CLOSED,
HOUGANG,SGP000125,GRACE (SL) MEDICAL CENTRE,BLK 811 HOUGANG CENTRAL #01-208,530811,63850400,63851461,"9.00AM-12.00PM   
6.00PM-8.00PM (CLOSED ON WED EVENING)",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,
