AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
BUKIT TIMAH,SGP000614,RIDGEWOOD  MEDICAL CLINIC,5 RIDGEWOOD  CLOSE UNIT G4 RIDGEWOOD CONDOMINIUM,276696,64691666,64683575,"9.00AM-12.30PM,
2.30PM-5.30PM (CLOSED ON WED & FRI AFTERNOON)",9.00AM-12.30PM,CLOSED,CLOSED,
BUKIT TIMAH,SGP000618,HEALTHCARE  MEDICAL @ RAILMALL,446 UPPER BUKIT TIMAH ROAD  RAIL MALL,678067,67655733,67655377,"8.30AM-12.30PM,
2.00PM-4.30PM (CLOSED ON FRI AFTERNOON),
6.30PM-9.00PM",9.30AM-12.30PM,9.30AM-12.30PM,CLOSED,
BUONA VISTA,SGP000379,VISTA MEDICAL CENTRE PTE LTD,2 PANDAN VALLEY #01-211 ACACIA COURT,597626,67780822,67780722,"9.00AM-12.30PM,
2.00PM-4.00PM,
7.00PM-9.00PM (CLOSED ON WED & FRI NIGHTS)",9.00AM-12.30PM,CLOSED,CLOSED,
BUONA VISTA,SGP000677,THE CLINIC @ FUSIONOPOLIS,1 FUSIONOPOLIS WAY #03-10 CONNEXIS,138632,64660602,64660603,"8.30AM-1.00PM,
2.00PM-5.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
BUONA VISTA,SGP000730,FUSION MEDICAL & HEALTH SCREENING  CENTRE,1 FUSIONOPOLIS LINK #01-05 NEXUS @ONE-NORTH,138542,62506548,62506548,8.00AM-4.30PM,CLOSED,CLOSED,CLOSED,
CHAI CHEE,SGP000137,HEALTHLINE  FAMILY CLINIC & SURGERY,BLK 25A CHAI CHEE ROAD #01-467,461025,64463260,64463259,"8.30AM-3.00PM,
6.00PM-11.00PM",8.30AM-3.00PM,8.30AM-3.00PM,8.30AM-3.00PM,
CHAI CHEE,SGP000036,CHAI CHEE CLINIC & SURGERY,BLK 25A CHAI CHEE ROAD #01-453,461025,62441231,62441215,9.00AM- 4.00PM,9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,PATIENTS TO REGISTER 30 MINS BEFORE CLOSING.
CHAI CHEE,SGP000215,LIM CLINIC & SURGERY,BLK 20 CHAI CHEE ROAD #01-418/420,461020,62412211,62412268,"9.00AM-12.00PM   
2.00PM-5.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,Closed on Christmas and Chinese New Year's Day
CHANGI,SGP000674,LIM CLINIC,295 CHANGI ROAD,419773,67426335,67427574,"MON/TUE/THU/FRI:
9.00AM-1.00PM,
2.00PM-5.00PM WED: 9.00AM-
1.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,
CHANGI,SGP000682,SHENTON MEDICAL GROUP (UE BIZHUB EAST),2 CHANGI BUSINESS PARK AVE 1 #01-03 UE BIZHUB PARK EAST,486015,66362490,65436410,"8.30AM-1.00PM,
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
CHINATOWN,SGP000594,MW MEDICAL CENTRE,18 CROSS STREET #02-09 CHINA SQUARE CENTRAL,48423,62500625,62500665,8.30AM-6.30PM,8.30AM-6.30PM,9.00AM-8.00PM (APPOINTMENT BASIS ONLY),APPOINTMENT BASIS ONLY,
CHOA CHU KANG,SGP000100,EVERCARE MEDICAL CLINIC,BLK 253 CHOA CHU KANG AVENUE 1 #01-14A KEAT HONG SHOPPING CENTRE,680253,67699655,67664935,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,"CLINIC LAST REGISTRATION IS 15
MINS BEFORE CLOSING TIME OR EARLIER
THAN AS STATED IF WE HAVE REACHED THE MAXIMUM NUMBER OF PATIENTS THAT CAN BE ACCEPTED  FOR THAT SESSION."
