AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
JURONG EAST,SGP000700,BEWELL CLINIC @ DORM PTE LTD,28 TOH GUAN ROAD EAST  WESTLITE DORMITORY MEZZANINE  FLOOR,608596,65656338,65153105,"8.30AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM",CLOSED,CLOSED,CLOSED,
JURONG WEST,SGP000090,"FULLERTON  HEALTHCARE  GROUP @ DRS TRYTHALL HOY DAVIES, JURONG POINT",1 JURONG WEST CENTRAL 2 #B1A-19B JURONG POINT,648886,67930611,67931393,"8.30AM-12.30PM   
2.00PM-6.00PM",8.30AM-1.00PM,CLOSED,CLOSED,Patient to arrive at clinic at least 30 mins before closing
JURONG WEST,SGP000149,HEALTHWAY  JURONG WEST CLINIC,BLK 690 JURONG WEST CENTRAL 1 #01-193,640690,67921812,67924480,"8.30AM-12.30PM   
2.00PM-6.15PM   
7.00PM-12.00AM","8.30AM-12.30PM  
7.00PM-12.00AM","8.30AM-12.30PM
 
7.00PM-11.00PM","8.30AM-12.30PM
 
7.00PM-11.00PM",
JURONG WEST,SGP000348,THE DOCTOR'S CLINIC,BLK 429 JURONG WEST AVENUE 1 #01-318,640429,65669901,,"8.30AM-12.30PM,
2.30PM-4.30PM,
7.00PM-9.00PM (CLOSED ON WED NIGHT)",9.00AM-12.00PM,CLOSED,CLOSED,
JURONG WEST,SGP000286,PIER MEDICAL CENTRE,BLK 725 JURONG WEST AVENUE 5 #B1-164,640725,67915677,67910525,"MON/TUE/WED/FRI
: 
8.30AM-5.00PM   
6.30PM-9.00PM    THU: 
8.30AM-4.30PM",8.30AM-1.00PM,8.30AM-12.00PM,CLOSED,
JURONG WEST,SGP000418,HISEMAINN  MEDICAL CLINIC (JURONG WEST),BLK 276 JURONG WEST STREET 25 #01-06,640276,67958990,67939134,"8.30AM-3.30PM,
6.30PM-9.30PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
JURONG WEST,SGP000543,JURPOINT MEDICARE CLINIC,1 JURONG WEST CENTRAL 2 #B1A-20B JURONG POINT,648886,67940070,67941171,"8.30AM-12.00PM
2.00PM-4.30PM",8.30AM-12.00AM,CLOSED,CLOSED,#NAME?
JURONG WEST,SGP000678,CENTRAL 24-HR CLINIC (JURONG WEST),BLK 492 JURONG WEST STREET 41 #01-54,640492,65657484,65657784,24-HOURS,24-HOURS,24-HOURS,24-HOURS,
JURONG WEST,SGP000685,GJ MEDICAL CLINIC (JURONG POINT),1 JURONG WEST CENTRAL 2 #B1A-19A JURONG POINT SHOPPING CENTRE,648886,67958658,67958659,"9.00AM-1.00PM,
2.00PM-5.00PM,
6.00PM-9.00PM (CLOSED ON THU & FRI NIGHT)",CLOSED,2.00PM-6.00PM,CLOSED,"LAST REGISTRATION IS
15MINS BEFORE CLOSING TIME"
JURONG WEST,SGP000728,TAYKA MEDICAL FAMILY CLINIC (JURONG WEST),BLK 526 JURONG WEST STREET 52 #01-323,640526,65645528,65649678,"9.00AM-12.00PM,
2.00PM-4.00PM,
7.00PM-9.00PM",CLOSED,CLOSED,CLOSED,
KALLANG,SGP000049,CHOONG'S CLINIC (21),BLK 21 OLD AIRPORT ROAD #01-97,390021,63442400,63442400,"8.00AM-12.00PM 
2.30PM-4.00PM  
7.00PM-9.00PM",8.30AM-11.30AM,8.30AM-11.30AM,8.30AM-11.30AM,
KALLANG,SGP000220,LOW MEDICAL CLINIC,BLK 67 KALLANG BAHRU #01-447,330067,62950805,62977792,"MON/WED/THU/FRI
: 
8.00AM-4.00PM   
6.30PM-8.00PM (CLOSED ON WED EVENING)    
TUE: 
8.00AM-6.00PM",8.00AM-12.30PM,CLOSED,CLOSED,Closed on Wed nights
KALLANG,SGP000661,STAR HEALTH FAMILY CLINIC,57 GEYLANG BAHRU ROAD #01-3505,330057,62995889,62995889,1.00PM-5.00PM,9.00AM-1.00PM,1.00PM-3.00PM,1.00PM-3.00PM,
KALLANG,SGP000582,THE BALMORAL CLINIC @ LEISURE PARK,5 STADIUM WALK #02-21 LEISURE PARK KALLANG,397693,63452202,62423293,"9.30AM-12.30PM,
2.30PM-5.00PM",9.00AM-12.30PM,CLOSED,CLOSED,
