AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
SEMBAWANG,SGP000126,GREENLIFE CLINIC & SURGERY PTE LTD,11 CANBERRA ROAD #02-01 SEMBAWANG  MRT STATION,759775,67562676,67560016,"8.00AM-12.00PM   
2.00PM-4.00PM   
6.00PM-9.00PM","8.00AM-12.00PM
 
2.00PM-4.00PM",6.00PM-8.00PM,CLOSED,
SENGKANG,SGP000156,HEALTHWAY  MEDICAL CLINIC,BLK 118 RIVERVALE DRIVE #02-17 RIVERVALE PLAZA,540118,68812689,68812686,8.00AM-10.00PM,8.00AM-10.00PM,"8.00AM-1.00PM   
4.00PM-10.00PM",8.00AM-10.00PM,
SENGKANG,SGP000146,HEALTHWAY  COMPASSVALE CLINIC,BLK 267 COMPASSVALE LINK #01-04,540267,63438770,63438771,"8.30AM-12.30PM,
2.00PM-4.30PM,
6.30PM-9.30PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,
SENGKANG,SGP000249,MUTUAL HEALTHCARE  PTE LTD,BLK 319B ANCHORVALE  DRIVE #01-92,542319,64893833,64893973,"8.30AM-12.00PM,
2.00PM-3.30PM,
6.30PM-9.00PM",8.30AM-12.00PM,8.30AM-12.00PM,8.30AM-12.00PM,
SENGKANG,SGP000210,LIFELINE MEDICAL GROUP - SENGKANG  PTE LTD,BLK 118 RIVERVALE DRIVE #02-18 RIVERVALE PLAZA,540118,68812392,68812393,8.00AM-10.00PM,8.00AM-10.00PM,8.00AM-12.00AM,8.00AM-10.00PM,"CLOSED ON CHRISTMAS, NEW YEAR'S DAY & CHINESE NEW YEAR'S DAY."
SENGKANG,SGP000660,RCMC RIVERVALE CRESCENT MEDICAL CENTRE,182A RIVERVALE CRESCENT #01-04,541182,68860772,68860773,"MON, TUE & THU:
9.00AM-10.00PM, WED & FRI: 9.00AM-
7.00PM",9.00AM-6.00PM,2.00PM-8.00PM,CLOSED,
SENGKANG,SGP000402,THE OLIVE TREE FAMILY CLINIC & SURGERY,BLK 303 ANCHORVALE  LINK #01-02,540303,63888697,68813202,"MON-WED: 8.30AM-
5.00PM, 6.30PM-
9.30PM   THU:
8.30AM-2.00PM,
6.30PM-9.30PM
FRI: 8.30AM-5.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
SENGKANG,SGP000430,NORTHEAST  (SENGKANG)  MEDICAL CENTRE PTE LTD,5 SENGKANG  SQUARE #01-05 SENGKANG  MRT STATION,545062,68755911,68755912,8.00AM-11.00PM,8.00AM-11.00PM,8.00AM-11.00PM,8.00AM-11.00PM,
SENGKANG,SGP000540,ETERN MEDICAL CLINIC (SENGKANG),33 SENGKANG  WEST AVE #03-33 THE SELETAR MALL,797653,64257255,64257995,"9.00AM-1.00PM,
2.00PM-5.00PM,
6.30PM-9.30PM","9.00AM-3.00PM,
6.30PM-9.30PM","9.00AM-3.00PM,
6.30PM-9.30PM","9.00AM-3.00PM,
6.30PM-9.30PM","SAT/SUN/PH: 3.00PM -
6.00PM IS BY APPOINTMENT BASIS ONLY."
SENGKANG,SGP000537,HEALTHBRIDGE FAMILY CLINIC,11 RIVERVALE CRESCENT #02-16 RIVERVALE MALL,545082,64897495,64897493,"8.30AM-12.30PM   
1.30PM-4.00PM   
7.00PM-9.00PM (CLOSED ON FRI EVENING)",8.30AM-1.00PM,CLOSED,9.00AM-12.00PM,REGISTRATION CLOSED 30 MINS BEFORE CLOSING TIME
SENGKANG,SGP000556,HEALTHWAY  ANCHORVALE  CLINIC,BLK 308 ANCHORVALE  ROAD #01-03,540308,63123106,63123107,"8.30AM-12.30PM   
2.00PM-5.00PM   
6.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
SENGKANG,SGP000623,PHOENIX MEDICAL GROUP,1 SELETAR ROAD #02-11 GREENWICH  V,807011,65553512,64842240,9.00AM-9.00PM,9.00AM-9.00PM,9.00AM-9.00PM,9.00AM-1.00PM,
