AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
JOHOR BAHRU,MGP000255,KLINIK SENTOSA,"43 JALAN SULAM, TAMAN SENTOSA",80150,07-3337470,"02-07-
3348475","9.30AM-1.00PM,
2.30PM-5.00PM,
7.30PM-9.00PM",9.00AM-5.00PM,9.00AM-5.00PM,CLOSED,
JOHOR BAHRU,MGP000001,KLINIK MESRA LARKIN,"5C-08(A) Pusat Pengangkutan Awam Larkin,  Jln
Geroda 2 80350 Johor Bahru",80350,07-2228966,07-2228966,"9.00AM-1.00PM 
2.00PM-5.00PM 
6.00PM-8.00PM","9.00AM-1.00PM 
2.00PM-5.00PM 
6.00PM-8.00PM",9.00AM-1.00PM,CLOSED,
JOHOR BAHRU,MGP000002,KLINIK MESRA TAMPOI,"5 Jalan Persiaran Tanjung Susur 1 Tampoi, 81200
Johor",81200,07-2361516,07-2361516,"9.00AM-5.00PM 
7.00PM-9.00PM",9.00AM-1.00PM,CLOSED,CLOSED,
JOHOR BAHRU,MGP000623,KLINIK LEE DAN SURGERI,14 JALAN INDAH 16/5  TAMAN BUKIT INDAH,81200,07-2365419,07-2365419,9.00AM-10.00PM,9.00AM-10.00PM,9.00AM-10.00PM,9.00AM-10.00PM,
JOHOR BAHRU,MGP000645,KLINIK MOHAN,NO 30A JALAN LEMBAH 3  TAMAN DESA JAYA,81100,07-3575970,07-3575970,"8.30AM-4.00PM 
6.00PM-9.30PM (CLOSED ON WED EVENING)","8.30AM-4.00PM 
6.00PM-9.30PM",CLOSED,CLOSED,
JOHOR BAHRU,MGP000734,KLINIK LAI & SURGERI,"72 JALAN INDAH 8/15, TAMAN BUKIT INDAH, JOHOR BAHRU",81200,07-2324686,07-2324686,"8.30AM-4.30PM,
6.00PM-10.30PM (CLOSED ON TUESDAY)","8.30AM-4.30PM,
6.00PM-10.30PM","8.30AM-4.30PM,
6.00PM-10.30PM",CLOSED,
JOHOR BAHRU,MGP000758,KLINIK ADHAM CAWANGAN  MUTIARA RINI,"NO.19 JALAN JASA 25, PRESINT JASA, TAMAN MUTIARA RINI, SKUDAI JOHOR",81300,07-5570194,07-5570194,24HOURS,24HOURS,24HOURS,24HOURS,
JOHOR BAHRU,MGP000689,KLINIK MEDIVIRON  BUKIT INDAH,"87 JALAN INDAH 15/2 TAMAN BUKIT INDAH 81200
JOHOR BAHRU",81200,07-2369993,07-2369993,9.00AM-9.00PM,9.00AM-9.00PM,CLOSED,9.00AM-9.00PM,
JOHOR BAHRU,MGP000770,KLINIK TEOH,"35 JALAN HARMONIUM  23/12, TAMAN DESA TEBRAU",81100,07-3518985,07-3528984,7.30AM-12.00AM,7.30AM-12.00AM,7.30AM-12.00AM,7.30AM-12.00AM,
JOHOR BAHRU,MGP000782,POLIKLINIK  CHU SDN BHD,"6 JALAN KEBUDAYAAN  1, TAMAN UNIVERSITI, SKUDAI, JOHOR",81300,07-5213188,07-5213188,8.00AM-10.00PM (CLOSED ON FRIDAY),8.00AM-10.00PM,8.00AM-10.00PM,8.00AM-10.00PM,
JOHOR BAHRU,MGP000773,KLINIK FALCK BESTARI,"NO. 3 JALAN PERMAS UTARA, BANDAR BARU PERMAS JAYA, #G-23 BLOCK A, PERMAS MALL",81750,07-3862894,07-3862894,8.00AM-10.00PM,8.00AM-10.00PM,CLOSED,8.00AM-10.00PM,
JOHOR BAHRU,MGP000815,KLINIK KELUARGA DAN SURGERI,"NO 39G SUSUR LARKIN PERDANA 1, JOHOR BAHRU",80350,07-2340512,07-2340512,9.00AM-10.30PM,9.00AM-10.30PM,9.00AM-10.30PM,9.00AM-10.30PM,
JOHOR BAHRU,MGP000769,POLIKLINIK  MM FAMILYCARE  & SURGERI,"NO 5 JALAN MUTIARA 1/2, TAMAN MUTIARA MAS, SKUDAI",81300,07-5590851,07-5590851,8.00AM-11.30PM,8.00AM-11.30PM,8.00AM-11.30PM,8.00AM-11.30PM,
JOHOR BAHRU,MGP000824,KLINIK SIA DAN SURGERI,"NO.123 JALAN PAHLAWAN  1, TAMAN UNGKU TUN AMINAH, SKUDAI, JOHOR",81300,07-5563840,07-5564551,"MON-WED & FRI:
9.00AM-9.30PM THU: 5.30PM-
9.30PM",9.00AM-9.30PM,9.00AM-9.30PM,CLOSED,
JOHOR BAHRU,MGP000822,POLIKLINIK  CHU,"NO 4 JALAN NUSARIA 11/7, TAMAN NUSANTARA, GELANG PATAH, JOHOR",81550,"017-
8866808",,9.00AM-10.00PM,9.00AM-10.00PM,9.00AM-10.00PM,9.00AM-10.00PM,
