AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
BEDOK,SGP000438,BEDOK CENTRAL CLINIC PTE LTD,BLK 214 BEDOK NORTH STREET 1 #01-161,460214,62424489,62418679,"8.30AM-2.30PM  
5.30PM-9.30PM",8.30AM-1.00PM,9.30AM-12.30PM,CLOSED,
BEDOK,SGP000454,CLINIC FARIDAH,BLK 59 NEW UPPER CHANGI ROAD #01-1230,461059,64427480,64427480,"8.30AM-12.00PM,
2.00PM-4.00PM",8.30AM-12.00PM,CLOSED,CLOSED,
BEDOK,SGP000536,HEALTHCREST MEDICAL CENTRE,349 BEDOK ROAD,469536,64430642,62440814,"8.00AM-1.00PM   
7.00PM-9.30PM (CLOSED ON FRI EVENING)",8.00AM-1.00PM,CLOSED,CLOSED,
BEDOK,SGP000561,CENTRAL CLINIC & SURGERY (BEDOK),BLK 219 BEDOK CENTRAL #01-124,460219,62476122,62476123,24 HOURS,24 HOURS,24 HOURS,24 HOURS,
BEDOK,SGP000719,BEDOK DAY & NIGHT CLINIC,BLK 418 BEDOK NORTH AVENUE 2 #01-85,460418,64441104,64441104,"MON/TUE/THU:
9.00AM-12.30PM,
1.30PM-3.30PM,
6.30PM-9.30PM WED: 9.00AM-
12.30PM, 6.30PM-
9.30PM FRI: 9.00AM-
12.30PM, 6.30PM-
8.30PM",9.00AM-12.30PM,"9.30AM-12.30PM,
6.30PM-8.30PM",9.30AM-12.30PM,
BENCOOLEN,SGP000675,DR TAN AND PARTNERS,180 BENCOOLEN  STREET #02-20,189646,68844119,68844187,9.00AM-5.00PM,CLOSED,9.00AM-1.00PM,CLOSED,
BENDEMEER,SGP000280,PARIQUA CLINIC,BLK 47 BENDEMEER  ROAD #01-1463,330047,62921351,62921351,"8.30AM-12.00PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,
BISHAN,SGP000205,LIFELINE BISHAN MEDICAL CLINIC,BLK 501 BISHAN STREET 11 #01-376,570501,62598969,63582510,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,
BISHAN,SGP000178,RADLINK MEDICARE (BISHAN) PTE LTD,BLK 503 BISHAN STREET 11 #01-464,570503,62557545,63582830,"9.00AM-1.00PM   
2.00PM-4.00PM   
7.30PM-9.30PM",9.00AM-1.00PM,9.00AM-12.00PM,CLOSED,Patient to arrive at least 15mins before closing
BISHAN,SGP000009,ASPEN CLINIC,BLK 283 BISHAN STREET 22 #01-185,570283,64553829,64567217,"9.00AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED TUE & FRI NIGHT)",9.00AM-12.30PM,CLOSED,CLOSED,
BISHAN,SGP000330,TAN'S T&T CLINIC AND SURGERY,BLK 152 BISHAN STREET 11 #01-213,570152,63531133,,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON WED AFTERNOONS)",8.30AM-1.00PM,9.00AM-12.00PM,CLOSED,
BOON KENG,SGP000326,TAN-TEOH  CLINIC & SURGERY,BLK 101 TOWNER ROAD #01-216,322101,62992292,62995662,"8.30AM-12.30PM   
2.00PM-6.00PM   
7.00PM-9.00PM","8.30AM-12.30PM
 
2.00PM-4.00PM",8.30AM-12.00PM,8.30AM-12.00PM,Patient to arrive at least 15 mins before closing
BOON LAY,SGP000058,COMMUNITY  MEDICAL CLINIC,BLK 221 BOON LAY PLACE #02-160 BOON LAY SHOPPING CENTRE,640221,62610672,62610672,"8.30AM-12.00PM   
1.30PM-4.00PM  
5.30PM-8.00PM",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,
BOON LAY,SGP000023,BOON LAY CLINIC & SURGERY,BLK 221 BOON LAY PLACE #01-240/244  BOON LAY SHOPPING CENTRE,640221,62655247,62680866,"9.00AM-12.30PM   
2.00PM-5.00PM   
7.00PM-9.00PM",9.00AM-1.00PM,9.00AM-1.00PM,9.00AM-1.00PM,
