AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
BOON LAY,SGP000664,BLESS MEDICAL CENTRE,BLK 221 BOON LAY PLACE #01-108 BOON LAY SHOPPING CENTRE,640221,62664119,62667855,8.00AM-9.30PM,8.00AM-9.30PM,CLOSED,CLOSED,
BOON LAY,SGP000694,MY DOCTOR @ LAKESIDE,BLK 201 BOON LAY WAY #01-05 LAKESIDE MRT STATION,649845,62657270,62652170,"MON-THU: 8.30AM-
8.30PM   FRI:
8.30AM-5.00PM",8.30AM-5.00PM,CLOSED,CLOSED,
BOON LAY,SGP000699,PIONEER MEDICARE,3 SOON LEE STREET #01-08 PIONEER JUNCTION,627606,63397422,63397427,"8.00AM-1.00PM,
2.00PM-6.00PM",8.00AM-1.00PM,CLOSED,CLOSED,
BOON LAY,SGP000712,ONECARE CLINIC BOON LAY,221 BOON LAY PLACE #01-152 BOON LAY SHOPPING CENTRE,640221,62611580,62611584,"8.00AM-4.00PM,
5.00PM-11.00PM","8.00AM-4.00PM,
5.00PM-11.00PM","8.00AM-4.00PM,
5.00PM-11.00PM","8.00AM-4.00PM,
5.00PM-11.00PM",
BUANGKOK,SGP000708,SHENTON MEDICAL GROUP (BUANGKOK),10 SENGKANG  CENTRAL #01-04 BUANGKOK BUILDING NEL MRT STATION,545061,63153671,63158190,"8.30AM-1.00PM,
2.00PM-5.30PM,
6.30PM-9.00PM (CLOSED ON FRI NIGHT)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
BUGIS,SGP000184,KHOO FAMILY CLINIC & SURGERY,BLK 2 BEACH ROAD #01-4781,190002,62955955,62955955,"8.30AM-12.30PM   
2.00PM-4.00PM   
6.30PM-9.00PM",8.30AM-12.30PM,9.00AM-12.00PM,CLOSED,
BUKIT BATOK,SGP000186,KHOR CLINIC & SURGERY,BLK 424 BUKIT BATOK WEST AVENUE 2 #01-237,650424,65631285,65617221,"8.30AM-12.00PM,
1.00PM-3.00PM,
7.00PM-8.30PM",8.30AM-12.00PM,CLOSED,9.00AM-12.00PM,
BUKIT BATOK,SGP000026,BUKIT BATOK MEDICAL CLINIC,BLK 207 BUKIT BATOK STREET 21 #01-114,650207,65603311,65692400,"9.00AM-12.30PM   
2.00PM-4.30PM   
7.00PM-9.00PM (CLOSED ON WED EVENING)",9.00AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,Closed on Christmas and Chinese New Year's Day
BUKIT BATOK,SGP000654,HISEMAINN  MEDICAL CLINIC (BUKIT BATOK),289E BUKIT BATOK STREET 25 #01-160,654289,65691375,65667565,"8.30AM-3.00PM,
6.30PM-9.30PM",8.30AM-1.00PM,CLOSED,CLOSED,"LAST REGISTRATION IS
10 MINS BEFORE CLOSING TIME."
BUKIT BATOK,SGP000196,LAI MEDICAL CLINIC PTE LTD,BLK 213 BUKIT BATOK STREET 21 #01-209,650213,65632935,65638276,"8.30AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON WED AFTERNOON  & NIGHT AND FRI AFTERNOON)",8.30AM-12.30PM,CLOSED,CLOSED,
BUKIT BATOK,SGP000211,LIFELINE NEIGHBOURHOOD MEDICAL CLINIC PTE LTD,BLK 280 BUKIT BATOK EAST AVENUE 3 #01-333,650280,65678316,65678316,"9.00AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON FRI AFTERNOON)",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,PLEASE CALL TO CONFIRM IF THE CLINIC IS OPENED ON PUBLIC HOLIDAYS.
BUKIT BATOK,SGP000365,THONG HOE CLINIC,BLK 151 BUKIT BATOK STREET 11 #01-252,650151,65653866,65607233,"9.00AM-12.00PM,
2.30PM-4.30PM,
7.30PM-9.00PM (CLOSED ON FRI AFTERNOON  & NIGHT)",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,
