AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
HOUGANG,SGP000082,DRS LIM & CHAN CLINIC (HOUGANG),BLK 106 HOUGANG AVENUE 1 #01-1235,530106,62800990,62801973,"8.30AM-12.30PM 
2.00PM-5.00PM (CLOSED ON TUE/WED AFTERNOON)  
7.00PM-9.00PM (CLOSED ON THU/FRI EVENING)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
HOUGANG,SGP000148,HEALTHWAY  MEDICAL CLINIC,BLK 684 HOUGANG AVENUE 8 #01-965,530684,63880339,63880337,"8.30AM-12.30PM   
2.00PM-5.00PM   
6.30PM-9.30PM","8.30AM-12.30PM
 
6.30PM-9.30PM","8.30AM-12.30PM
 
6.30PM-9.30PM","8.30AM-12.30PM
 
6.30PM-9.30PM",
HOUGANG,SGP000656,HALLEY MEDICAL CLINIC,"1 HOUGANG STREET 91, HOUGANG 1 #01-21",538692,63122632,63122732,"8.30AM-1.00PM,
2.00PM-5.00PM,
7.00PM-9.00PM","8.30AM-1.00PM,
2.00PM-5.00PM,
7.00PM-9.00PM","8.30AM-1.00PM,
2.00PM-5.00PM,
7.00PM-9.00PM","8.30AM-1.00PM,
2.00PM-5.00PM,
7.00PM-9.00PM",
HOUGANG,SGP000303,SEAH CLINIC,BLK 311 HOUGANG AVENUE 5 #01-183,530311,62827254,62828769,"8.30AM-12.00PM,
2.30PM-5.00PM",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,
HOUGANG,SGP000219,LONDON (MH) CLINIC & SURGERY,BLK 104 HOUGANG AVENUE 1 #01-1123,530104,62807262,62807262,"9.00AM-12.00PM  
2.00PM-3.45PM   
6.00PM-8.30PM (CLOSED ON WED/FRI EVENING)",9.00AM-11.30PM,CLOSED,SELECTED,
HOUGANG,SGP000228,MEDICA CLINIC,BLK 681 HOUGANG AVENUE 8 #01-837,530681,63862187,63879543,"8.30AM-12.00PM,
2.00PM-4.00PM,
7.00PM-8.30PM (CLOSED TUE/WED/THU NIGHT)",8.30AM-12.00PM,CLOSED,CLOSED,
HOUGANG,SGP000290,PRIMECARE  MEDICAL CLINIC,BLK 681 HOUGANG AVENUE 8 #01-823,530681,63863007,63865529,"8.30AM-12.30PM  
2.00PM-4.30PM   
7.00PM-9.00PM (CLOSED ON FRI EVENING)",8.30AM-12.30PM,CLOSED,CLOSED,
HOUGANG,SGP000578,GOH CLINIC & SURGERY,BLK 204 HOUGANG STREET 21 #01-101,530204,63863836,62840594,"9.00AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON FRI NIGHT)",9.00AM-12.30PM,10.00AM-12.00PM (PLS CALL BEFORE CONSULTATION),10.00AM-12.00PM (PLS CALL BEFORE CONSULTATION),
HOUGANG,SGP000551,MEDLIFE CLINIC & SURGERY,BLK 684 HOUGANG AVENUE 8 #01-985,530684,63850836,63852463,"8.30AM-3.30PM   
6.30PM-9.30PM",9.00AM-1.00PM,"9.00AM-1.00PM   
7.00PM-9.00PM",9.00AM-1.00PM,
HOUGANG,SGP000566,CENTRAL 24-HR CLINIC (HOUGANG),BLK 681 HOUGANG AVENUE 8 #01-831,530681,63876965,63868052,24 HOURS,24 HOURS,24 HOURS,24 HOURS,
HOUGANG,SGP000598,S. LEE CLINIC,BLK 644 HOUGANG AVENUE 8 #01-265,530644,63861632,63865935,"9.00AM-12.30PM   
2.30PM-4.30PM   
7.00PM-9.00PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
HOUGANG,SGP000713,ONECARE CLINIC HOUGANG PTE LTD,104 HOUGANG AVENUE 1 #01-1125,530104,65250325,65250396,8.00AM-10.00PM,8.00AM-10.00PM,8.00AM-10.00PM,8.00AM-10.00PM,
HOUGANG,SGP000709,PROCROSS MEDICAL CENTRE (HOUGANG),BLK 449 HOUGANG AVENUE 10 #B1-509,530449,67022848,67022840,"12.30PM-4.30PM,
7.30PM-9.30PM",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,
