AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
CHOA CHU KANG,SGP000101,EVERCARE MEDICAL CLINIC (475) PTE LTD,"BLK 475 CHOA CHU KANG AVENUE 3 #02-02
SUNSHINE PLACE",680475,67666465,67690767,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,"- LAST REGISTRATION
15 MINS BEFORE CLOSING OR EARLIER IF MAXIMUM NUMBER OF PATIENTS REACHED FOR THAT SESSION. 
- TEMPORARY CLOSURE FROM 15-21
OCTOBER 2015."
CHOA CHU KANG,SGP000403,CLINICAL ASSOCIATES  MEDICAL CENTRE,BLK 137 TECK WHYE LANE #01-313,680137,67624180,67624152,"8.30AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,"Closed on Labour Day, Christmas, New Year's Day & Chinese New Year's Day"
CHOA CHU KANG,SGP000424,LIN & SONS CLINIC & SURGERY PTE LTD,BLK 18 TECK WHYE LANE #01-97,680018,67690554,67696459,"8.30AM-1.00PM,
2.00PM-5.00PM,
6.30PM-9.30PM","8.30AM-1.00PM,
2.00PM-5.00PM",9.00AM-1.00PM,9.00AM-1.00PM,
CHOA CHU KANG,SGP000456,HARMONY FAMILY CLINIC,BLK 235 CHOA CHU KANG CENTRAL #B1-25,680235,67623979,67621293,"9.00AM-12.30PM,
2.00PM-4.30PM",9.00AM-12.30PM,CLOSED,CLOSED,
CHOA CHU KANG,SGP000462,TEMASEK MEDICAL CENTRE,BLK 624 CHOA CHU KANG STREET 62 #01-226 YEW TEE SHOPPING CENTRE,680624,67665766,67665800,"8.30AM-12.30PM   
2.00PM-4.30PM   
6.30PM-9.00PM",8.30AM-12.30PM,9.00AM-1.00PM,9.00AM-12.00PM,"LAST REGISTRATION
15 MINS BEFORE CLOSING TIME."
CHOA CHU KANG,SGP000507,THE PREMIER MEDICAL CLINIC,BLK 304 CHOA CHU KANG AVENUE 4 #01-651,680304,67600643,67631712,"8.30AM-12.30PM   
2.00PM-4.30PM   
6.30PM-9.00PM",8.30AM-12.00PM,9.00AM-12.00PM,CLOSED,
CHOA CHU KANG,SGP000679,HEALTHWERKZ MEDICAL CENTRE (CCK) PTE LTD,BLK 225 CHOA CHU KANG CENTRAL #01-199,680225,67662827,67660568,"8.30AM-2.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
CITY HALL,SGP000179,K N CHIN & ASSOCIATES  PTE LTD,3 TEMASEK BOULEVARD  #02-400 SUNTEC CITY MALL,38983,63372522,63346656,8.30AM-5.30PM,8.30AM-12.30PM,CLOSED,CLOSED,LAST REGISTRATION ENDS 30MINS BEFORE CLOSING TIME.
CITY HALL,SGP000018,BETHESDA MEDICAL CENTRE PTE LTD,3 TEMASEK BOULEVARD  #B1-124 SUNTEC CITY MALL,38983,63378933,68843633,"8.30AM-1.00PM   
2.00PM-5.30PM",9.00AM-12.00PM,CLOSED,CLOSED,Patients to be registered 30 mins before closing
CITY HALL,SGP000309,SHALOM MEDICAL DENTAL GROUP,BLK 231 BAIN STREET #03-57 BRAS BASAH COMPLEX,180231,63371884,63376976,"9.00AM-12.30PM,
2.00PM-5.00PM",9.00AM-1.00PM,CLOSED,CLOSED,
CITY HALL,SGP000609,THE CLINIC @ CAMPUS PTE LTD,70 STAMFORD  ROAD #B1-45,178901,63339300,63339301,"8.30AM-1.00PM   
2.00PM-5.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
CITY HALL,SGP000361,THE MEDICAL PRACTICE PTE LTD,1 RAFFLES LINK #01-03A ONE RAFFLES LINK,39393,63329086,62386053,"8.30AM-12.15PM   
1.30PM-5.15PM",8.30AM-12.15PM,CLOSED,CLOSED,
CITY HALL,SGP000722,CRAWFURD  MEDICAL,3 TEMASEK BOULEVARD  #02-482 SUNTEC CITY MALL (NORTH WING BETWEEN TOWER 1 & 2),38983,68049580,63419757,"8.30AM-12.30PM,
2.00PM-6.00PM",8.30AM-1.00PM,CLOSED,CLOSED,
CLEMENTI,SGP000357,THE JURONG DISPENSARY,BLK 443 CLEMENTI AVENUE 3 #01-77,120443,67774494,67771075,"8.30AM-12.30PM   
2.30PM-5.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
